,state,STASD_N,land_limits_ha,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,ILLINOIS,17,2236394.332,48206.59348,50016.71077,47255.40306,49190.43469,48418.27844,45169.02922,45864.95305,49313.45917,45168.40968,50022.56862,43562.91403,40417.49579,49693.20245,45359.85232,53347.89727,44898.79633
1,INDIANA,18,2236394.332,48363.65328,50239.95986,46588.16959,48660.85378,47778.85261,43030.25095,45166.14963,47075.7177,44106.56934,49424.04834,44338.44352,40321.20741,49676.86524,44123.72575,52460.86307,44054.82626
2,IOWA,19,2236394.332,43940.49742,44727.6358,43738.18073,44188.11792,44899.59952,42995.56337,41072.28233,45193.62476,42020.54945,45257.92426,39440.06117,36965.2001,44370.05265,41578.94252,49577.72932,41037.94823
3,KANSAS,20,2236394.332,53908.60501,53054.38894,54389.21156,54736.68556,53988.76979,52054.56861,51343.55937,53754.49349,53690.82976,52569.06787,48293.49043,46432.88979,52437.98863,52738.06675,58635.99983,50471.47636
4,MICHIGAN,26,2236394.332,39834.16763,38562.58699,34948.74737,36829.14552,37461.0119,32706.72348,32313.17128,37138.68972,35293.45182,37962.28557,34479.17386,30942.5695,37353.53952,33850.90798,41412.75396,34259.44397
5,MINNESOTA,27,2236394.332,37677.94883,35007.91253,34828.08093,36008.41074,34904.35306,34514.06575,30629.11304,34743.39523,36023.1428,35347.30896,32004.1555,29448.1413,35264.98815,32872.92191,38600.4573,31802.45685
6,MISSOURI,29,2236394.332,51722.26911,53488.80726,52161.39555,53485.75394,52762.56867,50059.09531,49456.92165,53578.34329,50963.85564,52982.10083,46198.93318,44124.84382,52500.80902,50056.15138,57075.02246,48158.52942
7,NEBRASKA,31,2236394.332,46365.60803,46769.64167,48282.16442,47710.93671,47765.86485,46455.78284,44582.08231,47334.61303,46606.24088,46952.2227,42750.06689,40337.53427,45943.58083,44305.59911,52856.63249,44399.50589
8,NORTH DAKOTA,38,2236394.332,37313.60742,35142.84689,35690.43493,37679.83216,34451.56053,34712.32275,31396.0013,34029.29997,37360.35661,35187.85158,33004.56979,30257.13153,34383.39178,33306.54793,37282.23277,33161.73028
9,OHIO,39,2236394.332,45420.08374,47414.5552,42561.45824,44704.5237,44834.15331,38329.26184,40101.37482,43138.55162,40506.88084,44954.94348,41280.80697,37845.83544,45961.85153,40349.44968,48124.74023,40879.2641
10,SOUTH DAKOTA,46,2236394.332,41515.84228,41377.75373,41402.15763,41875.86461,40612.92127,40266.2491,38296.08785,41157.70644,41450.59559,41675.14651,37270.68129,35414.04634,39720.75376,38242.06426,45578.19501,38465.63586
11,WISCONSIN,55,2236394.332,41433.99808,38979.17653,36831.18933,38702.02969,38335.25752,36382.19073,33569.63566,39311.97023,37314.12978,38799.40098,34685.30353,32230.68492,38649.87475,35101.06842,42896.49004,35638.27618
